"訂單時區","訂單時間.以訂單時區顯示.","UTC時間"
"America/New_York","2016-05-03 01:31:49",1970-01-01 00:00:01
"Asia/Taipei","2016-01-18 01:11:13",1970-01-01 00:00:01
"Asia/Taipei","2017-04-13 04:45:50",1970-01-01 00:00:01
"Asia/Taipei","2016-12-25 02:23:32",1970-01-01 00:00:01
"Asia/Taipei","2016-03-28 09:30:04",1970-01-01 00:00:01
"Asia/Taipei","2017-05-19 04:33:36",1970-01-01 00:00:01
"America/New_York","2013-12-04 08:35:07",1970-01-01 00:00:01
"America/New_York","2016-04-07 08:40:42",1970-01-01 00:00:01
"America/New_York","2016-07-04 05:47:56",1970-01-01 00:00:01
"Asia/Taipei","2016-06-21 01:33:21",1970-01-01 00:00:01
"America/New_York","2017-06-09 07:47:15",1970-01-01 00:00:01
"Asia/Taipei","2017-05-01 08:15:42",1970-01-01 00:00:01
"Asia/Taipei","2016-11-17 02:58:44",1970-01-01 00:00:01
"Asia/Taipei","2017-04-21 08:53:48",1970-01-01 00:00:01
"Asia/Taipei","2014-06-03 06:18:49",1970-01-01 00:00:01
"Asia/Taipei","2014-11-05 12:33:42",1970-01-01 00:00:01
"America/New_York","2017-05-15 04:13:00",1970-01-01 00:00:01
"Asia/Taipei","2016-11-22 02:06:32",1970-01-01 00:00:01
"America/New_York","2016-06-14 09:35:31",1970-01-01 00:00:01
"America/New_York","2016-05-04 02:53:08",1970-01-01 00:00:01
"Asia/Taipei","2015-12-03 09:19:57",1970-01-01 00:00:01
"America/New_York","2017-05-25 03:54:16",1970-01-01 00:00:01
"America/New_York","2014-12-24 01:59:51",1970-01-01 00:00:01
"America/New_York","2015-05-21 04:17:42",1970-01-01 00:00:01
"Asia/Taipei","2016-08-23 07:59:54",1970-01-01 00:00:01
"America/New_York","2015-12-16 10:33:00",1970-01-01 00:00:01
"America/New_York","2016-07-14 06:37:03",1970-01-01 00:00:01
"Asia/Taipei","2015-03-09 10:49:36",1970-01-01 00:00:01
"Asia/Taipei","2015-09-16 07:01:14",1970-01-01 00:00:01
"Asia/Taipei","2016-03-22 03:09:57",1970-01-01 00:00:01
"Asia/Taipei","2016-04-17 05:21:43",1970-01-01 00:00:01
"America/New_York","2016-12-12 04:42:39",1970-01-01 00:00:01
"Asia/Taipei","2014-04-01 06:59:12",1970-01-01 00:00:01
"America/New_York","2016-04-12 12:53:42",1970-01-01 00:00:01
"America/New_York","2014-10-22 06:46:20",1970-01-01 00:00:01
"Asia/Taipei","2017-01-22 07:04:53",1970-01-01 00:00:01
"Asia/Taipei","2014-12-15 07:18:25",1970-01-01 00:00:01
"America/New_York","2015-07-27 03:51:36",1970-01-01 00:00:01
"Asia/Taipei","2016-03-07 09:10:36",1970-01-01 00:00:01
"Asia/Taipei","2015-09-20 02:33:20",1970-01-01 00:00:01
"America/New_York","2014-06-19 08:49:58",1970-01-01 00:00:01
"Asia/Taipei","2015-01-16 07:18:32",1970-01-01 00:00:01
"America/New_York","2017-04-21 02:43:44",1970-01-01 00:00:01
"America/New_York","2017-06-12 08:42:41",1970-01-01 00:00:01
"Asia/Taipei","2014-02-18 06:35:16",1970-01-01 00:00:01
"America/New_York","2015-04-15 06:24:53",1970-01-01 00:00:01
"America/New_York","2017-02-04 02:48:47",1970-01-01 00:00:01
"America/New_York","2017-02-20 11:08:07",1970-01-01 00:00:01
"Asia/Taipei","2014-01-16 09:46:12",1970-01-01 00:00:01
"America/New_York","2017-02-03 07:41:32",1970-01-01 00:00:01
"Asia/Taipei","2014-01-09 02:59:35",1970-01-01 00:00:01
"America/New_York","2015-06-27 07:55:57",1970-01-01 00:00:01
"America/New_York","2015-10-16 01:58:14",1970-01-01 00:00:01
"America/New_York","2016-10-04 08:21:29",1970-01-01 00:00:01
"America/New_York","2013-12-04 12:42:12",1970-01-01 00:00:01
"Asia/Taipei","2016-03-25 08:44:26",1970-01-01 00:00:01
"Asia/Taipei","2017-03-17 02:18:34",1970-01-01 00:00:01
"Asia/Taipei","2016-05-11 07:09:08",1970-01-01 00:00:01
"Asia/Taipei","2014-02-24 11:08:05",1970-01-01 00:00:01
"Asia/Taipei","2014-09-02 04:13:03",1970-01-01 00:00:01
"Asia/Taipei","2015-10-12 06:06:31",1970-01-01 00:00:01
"Asia/Taipei","2015-11-11 04:17:37",1970-01-01 00:00:01
"America/New_York","2016-05-10 12:14:14",1970-01-01 00:00:01
"Asia/Taipei","2014-09-30 02:21:00",1970-01-01 00:00:01
"America/New_York","2015-04-13 00:36:08",1970-01-01 00:00:01
"America/New_York","2015-03-04 01:56:26",1970-01-01 00:00:01
"Asia/Taipei","2015-10-16 09:10:45",1970-01-01 00:00:01
"America/New_York","2017-04-06 03:14:08",1970-01-01 00:00:01
"Asia/Taipei","2016-05-09 02:39:36",1970-01-01 00:00:01
"America/New_York","2016-04-26 05:12:29",1970-01-01 00:00:01
"America/New_York","2015-10-12 06:39:09",1970-01-01 00:00:01
"Asia/Taipei","2016-10-03 07:33:39",1970-01-01 00:00:01
"America/New_York","2015-02-26 08:02:46",1970-01-01 00:00:01
"Asia/Taipei","2017-03-01 06:39:06",1970-01-01 00:00:01
"America/New_York","2014-11-30 07:38:21",1970-01-01 00:00:01
"America/New_York","2017-04-06 04:35:30",1970-01-01 00:00:01
"Asia/Taipei","2014-09-22 05:49:31",1970-01-01 00:00:01
"Asia/Taipei","2014-06-28 04:50:16",1970-01-01 00:00:01
"Asia/Taipei","2014-12-25 09:32:45",1970-01-01 00:00:01
"Asia/Taipei","2016-11-10 02:41:28",1970-01-01 00:00:01
"America/New_York","2014-11-05 12:53:50",1970-01-01 00:00:01
"Asia/Taipei","2016-04-30 07:00:15",1970-01-01 00:00:01
"America/New_York","2016-07-23 06:30:30",1970-01-01 00:00:01
"Asia/Taipei","2014-11-18 09:40:37",1970-01-01 00:00:01
"Asia/Taipei","2015-07-18 07:26:39",1970-01-01 00:00:01
"America/New_York","2016-09-23 12:06:51",1970-01-01 00:00:01
"Asia/Taipei","2014-06-05 05:14:43",1970-01-01 00:00:01
"America/New_York","2016-06-15 05:58:30",1970-01-01 00:00:01
"Asia/Taipei","2016-02-25 05:09:46",1970-01-01 00:00:01
"Asia/Taipei","2016-12-15 11:36:53",1970-01-01 00:00:01
"Asia/Taipei","2017-02-23 03:11:03",1970-01-01 00:00:01
"Asia/Taipei","2017-06-13 05:12:54",1970-01-01 00:00:01
"Asia/Taipei","2014-03-07 04:25:24",1970-01-01 00:00:01
"Asia/Taipei","2016-03-07 02:09:16",1970-01-01 00:00:01
"America/New_York","2015-12-18 04:24:54",1970-01-01 00:00:01
"Asia/Taipei","2016-11-28 08:49:31",1970-01-01 00:00:01
"Asia/Taipei","2015-10-22 10:07:20",1970-01-01 00:00:01
