學號,書籍類別,書籍名稱,讀者借閱冊數,書籍出版日期,書籍出版者,書籍館藏地,書籍上架年月,書籍標題(subject),讀者年級,學院,借閱時間
Af67c9efc85,語言文學類,"雲中歌. 卷四, 心繫半生願",76,2011,野人文化,3F中文圖書區,2013-12-30,長篇小說,2,法律學院,2015-04-22T07:13:44Z
L7852c44209,世界史地,"Milly的首爾情緒風景 : 不追韓星、不吃路邊小吃、不去汗蒸幕, 找到另一種品味首爾的方式",22,2013,平裝本,3F中文圖書區,2014-05-06,旅遊,1,人文學院,2014-05-26T07:07:46Z
C2994e99abf,社會科學類,科學說需求,8,2001,花千樹出版,3F中文圖書區,2010-03-17,經濟制度,3,社會科學院,2015-11-18T04:13:34Z
Kadbf84e112,語言文學類,天龍八部,64,1996,遠流,3F中文圖書區,2006-03-28,NA,1,人文學院,2014-01-07T08:49:20Z
F3ca6b1cb46,社會科學類,土地法研究,4,2007,新學林,3F中文圖書區,2009-04-02,"土地法令,規則等中國",4,公共事務學院,2016-08-24T08:00:18Z
L7852c44209,語言文學類,小團圓,51,2009,皇冠,3F中文圖書區,2010-05-26,NA,3,人文學院,2016-07-28T08:22:46Z
H1ad784615e,語言文學類,數學邏輯奇幻之旅,25,2010,繁星多媒體,3F中文圖書區,2010-11-10,NA,1,商學院,2013-11-25T09:45:15Z
Da4f10d3b62,NA,電子書閱讀器 iPad 4,2,NA,NA,1F流通櫃檯,2013-11-29,NA,4,社會科學院,2017-11-01T08:12:04Z
H05c6836b89,科學類,Principles of econometrics,12,2012,Wiley,4F外文圖書區,2012-06-18,Econometrics.,2,商學院,2015-03-12T00:32:32Z
A054541faf9,社會科學類,刑事訴訟法,185,2010,林鈺雄出版,3F中文圖書區,2011-06-23,刑事訴訟法,3,法律學院,2016-04-09T07:57:41Z
B2f30a32458,語言文學類,好色一代男,32,1998,臺灣商務,3F中文圖書區,2003-04-01,NA,3,公共事務學院,2016-05-04T12:03:17Z
Bf0d15e11c2,語言文學類,英語連音說得溜 = Listening skills for English as it's really spoken,134,2014,寂天文化,3F中文圖書區,2014-12-10,英語,4,公共事務學院,2017-07-27T07:52:38Z
F0495ac4e29,哲學類,煩惱都是自己想出來的,23,2013,遠見天下文化,3F中文圖書區,2013-12-30,成功法,4,公共事務學院,2017-02-22T04:29:57Z
K94ed57dfce,藝術類,華爾街之狼 [電影片] = The wolf of Wall Street,56,2015,勁藝多媒體,1F視聽區,2015-10-15,電影片,3,人文學院,2016-07-23T05:59:04Z
K0357ab3909,應用科學類,紅燜廚娘,249,2005,聯合文學出版,3F中文圖書區,2014-09-05,飲食文集,2,人文學院,2015-01-14T03:06:36Z
A302c6c29e6,社會科學類,政府採購法逐條釋義,11,1998,漢興,3F中文圖書區,1999-03-01,政府採購法令，規則等,3,法律學院,2016-01-20T00:24:51Z
A40a48099c5,語言文學類,NEW TOEIC TEST金色證書 : 閱讀,25,2012,眾文圖書,3F中文圖書區,2013-04-12,多益測驗,1,法律學院,2014-05-30T03:11:24Z
L452fbae8d8,語言文學類,兩個祖國,60,2012,皇冠,3F中文圖書區,2012-06-21,NA,2,人文學院,2014-10-28T04:04:13Z
F287026b717,中國史地,陪你走中國:一位台灣父親給兒子的畢業禮物,73,2011,遠流,3F中文圖書區,2011-07-26,中國研究,3,公共事務學院,2016-06-20T01:28:30Z
C4bc74b2cee,語言文學類,再生緣,10,1982,爾雅,3F中文圖書區,2002-09-10,NA,1,社會科學院,2014-02-17T01:51:18Z
N1ff5a12842,語言文學類,法語發音通 : 從零開始，教你說得一口標準法語,37,2012,瑞蘭國際,3F中文圖書區,2012-11-21,法語,1,商學院,2013-11-25T03:37:25Z
L64d502b592,哲學類,輕鬆駕馭意志力 : 史丹佛大學最受歡迎的心理素質課,2,2012,先覺,3F中文圖書區,2013-04-12,意志,4,人文學院,2017-04-24T05:57:45Z
Ia681a81132,語言文學類,潘朵拉處方,4,2008,三采文化,3F中文圖書區,2009-02-06,NA,2,商學院,2015-02-26T08:34:59Z
K589f2c6b22,語言文學類,多少英倫舊事,67,1985,時報,3F中文圖書區,1999-05-20,NA,2,人文學院,2015-03-25T02:41:57Z
A98211dd45a,世界史地,國家地理終極旅遊 : 一生必遊的500美食之旅,64,2014,大石國際文化,3F中文圖書區,2014-10-14,旅遊,2,法律學院,2014-11-08T07:16:33Z
Fbf1e6668ed,語言文學類,Fifty shades of grey,28,2012,Vintage Books,4F外文圖書區,2013-01-15,Man-woman relationships,1,公共事務學院,2013-12-20T06:47:51Z
B83669b3297,語言文學類,哈利波特:鳳凰會的密令,3,2003,皇冠,3F中文圖書區,2003-12-22,NA,1,公共事務學院,2014-03-06T07:53:25Z
B77c7ea4cbc,語言文學類,點滴城市,6,2003,圓神,3F中文圖書區,2003-06-24,NA,4,公共事務學院,2016-09-29T07:59:52Z
I0b43509b08,應用科學類,標靶行銷 : 中!緊貼目標顧客省下99%的亂槍打鳥,2,2013,日月文化,3F中文圖書區,2014-10-21,行銷策略,2,商學院,2015-05-14T07:39:25Z
Jeef41be43a,社會科學類,總體經濟學,16,1997,台灣西書,3F中文圖書區,1999-12-13,總體經濟,2,商學院,2015-04-16T03:03:10Z
F9a656a6eaf,社會科學類,土地稅,18,2005,五南,3F中文圖書區,2009-04-02,土地稅,3,公共事務學院,2016-02-23T02:45:44Z
L3054cbf2a3,語言文學類,艾莉的誇張人生,161,2014,遠見天下,3F中文圖書區,2014-06-25,幽默,3,人文學院,2016-03-04T07:49:49Z
Kd0de95944c,藝術類,詩歌吟唱教學,17,2010,麗文文化,3F中文圖書區,2014-10-14,詩歌吟唱,2,人文學院,2015-03-19T03:07:53Z
B030bb78188,語言文學類,白色巨塔,51,2005,商周出版,3F中文圖書區,2005-05-27,NA,1,公共事務學院,2014-04-16T04:44:50Z
O22ccf4e9f5,科學類,透視C++物件導向程式設計,5,NA,第三波發行,3F中文圖書區,1999-03-01,C++(電腦程式語言),1,電機資訊學院,2014-02-24T04:10:40Z
L3054cbf2a3,語言文學類,MLA論文寫作手冊,58,2004,書林,3F中文圖書區,2012-09-17,論文寫作法,4,人文學院,2017-04-13T08:55:12Z
Aaa87d5de2b,科學類,Tatbestandsmassiges Verhalten und Zurechnung des Erfolgs,184,1988,Muller Jur. verl.,4F外文圖書區,2003-10-28,NA,3,法律學院,2015-12-23T12:27:51Z
Bf0d15e11c2,世界史地,波羅的海的美麗與哀愁 : 愛沙尼亞 拉脫維亞 立陶宛 = Estonia Latvia Lithuania,123,2011,華成出版,1F寰宇開卷專區,2013-07-12,旅遊,3,公共事務學院,2016-01-15T08:55:20Z
Of04b36e9ea,總類,Fundamentals of data structures in C++,7,2007,Silicon Press,4F外文圖書區,2012-06-22,C++ (Computer program language),2,電機資訊學院,2014-08-21T06:45:52Z
A71270f3be6,語言文學類,鹿鼎記,97,1996,遠流,3F中文圖書區,2000-08-03,NA,1,法律學院,2014-04-30T03:06:42Z
Ie4a3b426be,社會科學類,SPSS統計分析實務 = Statistical analysis guidebook using SPSS,187,2015,旗標,3F中文圖書區,2015-11-17,統計套裝軟體,3,商學院,2016-04-16T07:13:05Z
C9c4cb427a8,社會科學類,透視野球 : 日本球場旅行與職棒文化解析 = ？？？？？？？,24,2011,球魂,3F中文圖書區,2012-05-16,遊記,2,社會科學院,2014-11-05T04:29:05Z
G012b121f83,語言文學類,獵命師傳奇系列 = FateHunter. 卷六,23,2012,蓋亞文化,3F中文圖書區,2013-06-10,科幻小說,1,商學院,2013-12-10T12:16:50Z
Q064cae6031,語言文學類,惡魔的淚珠,13,2006,皇冠文化,3F中文圖書區,2006-06-29,NA,1,電機資訊學院,2014-02-19T05:22:37Z
K2a01fe5225,科學類,微積分魔法書.下,21,2010,高點文化,3F中文圖書區,2016-09-30,微積分,4,人文學院,2017-10-02T10:10:51Z
Lfe70bf43d8,語言文學類,TOEIC多益寫作入門  : 邁向高分多益寫作最重要的入門法寶 = Mega TOEIC writing,79,2013,知英文化事業,3F中文圖書區,2016-02-25,多益測驗,4,人文學院,2017-03-22T05:14:44Z
Ka911e71b0d,語言文學類,從<<聊齋誌異>>到<<紅樓夢>>,50,2006,山東教育,3F中文圖書區,2008-11-13,NA,2,人文學院,2015-03-16T07:33:07Z
M1382540a06,應用科學類,Mit Erfolg zum TestDaF : Ubungs- und Testbuch inklusive 2 audio-CDs. [B2-C1],86,2009,Ernst Klett Sprachen,1F寰宇開卷專區,2014-10-02,German language Conversation and phrase books.,4,人文學院,2017-03-15T09:56:02Z
Bca766d94b7,語言文學類,宜蘭一瞥,82,2015,聯經,3F中文圖書區,2015-06-11,NA,4,公共事務學院,2017-03-13T01:12:41Z
J50392da2e7,語言文學類,銀河系焊接工人,15,2011,聯經,3F中文圖書區,2014-05-06,NA,2,商學院,2015-05-15T05:26:19Z
Bb7d36ae8d4,社會科學類,最新社會科學研究方法,47,2003,韋伯文化國際,3F中文圖書區,2004-12-27,社會科學研究方法,1,公共事務學院,2014-03-28T08:17:43Z
La349088f48,語言文學類,口譯大師的One-to-One跟讀課 : 從熟悉的話題開始Shadowing : 用你學母語的方式就能練好英語!,26,2012,貝塔,1F流通櫃檯,2012-07-11,英語,2,人文學院,2015-04-10T12:18:02Z
A02788333cf,社會科學類,國際私法新論,4,1998,林益山發行,3F中文圖書區,2008-08-15,國際私法,3,法律學院,2016-01-06T06:35:21Z
I549556b143,應用科學類,意志力 : 沒有意志力，就沒有生存力 = The willpower : can't survive without willpower,201,2010,就是文化,3F中文圖書區,2013-06-24,職場成功法,2,商學院,2014-11-19T12:55:35Z
A8d3a4c0353,語言文學類,我記得...,29,1989,遠流,3F中文圖書區,1999-03-01,NA,1,法律學院,2013-12-08T04:35:22Z
Bf0b35337c1,語言文學類,"可不可以, 你也剛好喜歡我?",26,2013,三采文化,3F中文圖書區,2014-06-11,散文,2,公共事務學院,2015-03-19T07:07:59Z
Lb07b2740f9,語言文學類,江 : 公主們的戰國,37,2011,如果,3F中文圖書區,2012-06-21,NA,4,人文學院,2017-06-27T03:58:51Z
Hf3171588d5,社會科學類,高等統計學題解,38,2004,台大法律學院圖書文具部,3F中文圖書區,2000-02-25,統計學問題，習題等,4,商學院,2016-08-24T07:46:05Z
A323ebaf1cd,語言文學類,冰與火之歌.二部曲,22,2003,高富國際文化出版,3F中文圖書區,2008-09-09,NA,1,法律學院,2014-02-07T07:09:50Z
K0357ab3909,語言文學類,唐人小說選注,249,2002,里仁,3F中文圖書區,2006-03-30,NA,2,人文學院,2015-03-23T12:49:40Z
C3d09e41d54,社會科學類,香港金融業概況及發展政策,35,2008,ZKOOB Limited,3F中文圖書區,2013-09-13,金融業,3,社會科學院,2015-10-07T07:09:33Z
I549556b143,社會科學類,個體經濟理論與應用,201,2001,全英,3F中文圖書區,2010-09-17,個體經濟,2,商學院,2014-09-25T09:20:58Z
E6925b74cf3,應用科學類,"會問問題, 才會帶人",12,2009,大塊文化出版,1F通識悅讀專區,2012-08-14,領導者,2,公共事務學院,2014-09-29T12:44:52Z
Ba02a384866,語言文學類,不哭=Won't cry,30,2008,春天出版國際文化出版,3F中文圖書區,2011-04-12,中國小說,1,公共事務學院,2013-11-25T08:22:54Z
A86ef331263,社會科學類,國際私法,3,2006,柯澤東出版,3F中文圖書區,2006-10-25,國際私法,3,法律學院,2015-12-31T07:40:37Z
L3054cbf2a3,語言文學類,白色城市的憂鬱,131,2005,寶瓶文化,3F中文圖書區,2013-05-16,長篇小說,1,人文學院,2014-01-15T07:07:53Z
Bf0b35337c1,社會科學類,政治學,85,2004,五南,3F中文圖書區,2006-04-27,政治,4,公共事務學院,2016-09-25T07:29:36Z
Af67c9efc85,語言文學類,風月書,76,1994,皇冠文化,3F中文圖書區,2013-04-19,散文,2,法律學院,2015-01-12T09:10:16Z
Mb88cacfaf0,世界史地,中國古代政治人物,8,1989,國文天地發行,3F中文圖書區,1999-08-09,NA,2,人文學院,2014-11-14T08:18:49Z
Hca8230f837,社會科學類,我們的新世界,7,2007,大塊文化出版,3F中文圖書區,2008-03-05,國際經濟,1,商學院,2014-06-05T12:41:39Z
Cb01b766267,哲學類,邏輯思考(新修版),52,2003,心理,3F中文圖書區,2004-08-12,理則學,3,社會科學院,2016-05-05T02:18:58Z
Kc54485f6a7,哲學類,感官之旅,38,1993,時報文化,3F中文圖書區,1999-03-01,感覺,3,人文學院,2016-05-25T01:28:46Z
C4fd54183e6,應用科學類,全世界都穿UNIQLO:不景氣也能大賣!揭開日本首富柳井正一勝九敗的祕密,5,2010,八方出版,3F中文圖書區,2011-04-27,服飾業,1,社會科學院,2013-12-10T11:20:13Z
Beee4cf0da8,哲學類,給自己10樣人生禮物 : 成就動詞型的生命地圖就在這10個關鍵,9,2012,大田,3F中文圖書區,2013-01-11,成功法,1,公共事務學院,2014-06-06T09:15:40Z
Bb66e51d4a1,世界史地,菜鳥新移民 : 臺裔刈包小子嘻哈奮鬥記,16,2015,木馬文化,3F中文圖書區,2015-12-21,傳記,4,公共事務學院,2017-03-06T08:15:29Z
E98bf815251,應用科學類,The snow queen,5,2000,Pearson Education,4F外文圖書區,2006-07-14,Missing children,4,公共事務學院,2017-05-17T07:52:56Z
I943d1d7f90,語言文學類,還能再愛嗎?=One more chance for love?,3,2009,春天出版國際出版,3F中文圖書區,2009-07-06,NA,1,商學院,2013-11-28T09:51:50Z
Bf183738ae6,NA,電子書閱讀器 iPad 4,12,NA,NA,1F流通櫃檯,2013-11-29,NA,3,公共事務學院,2016-07-24T06:47:12Z
Mb4ac1a99d5,中國史地,隋唐五代史(增訂本),31,2006,里仁,3F中文圖書區,2008-02-29,中國歷史隋唐五代(581-960),2,人文學院,2015-03-04T09:08:14Z
Gd5651e73bd,語言文學類,"第五條款. 3, 最後的家園",8,2015,馬可孛羅文化出版,3F中文圖書區,2016-07-04,NA,4,商學院,2016-09-12T03:10:42Z
He38e61f80d,語言文學類,理由,5,2004,一方,3F中文圖書區,2015-03-05,日本文學,2,商學院,2015-05-20T05:44:01Z
Kaa31b626dd,社會科學類,不當行為 : 行為經濟學之父教你更聰明的思考、理財、看世界,41,2016,先覺,3F中文圖書區,2016-10-05,經濟學,4,人文學院,2017-09-13T05:28:00Z
A323ebaf1cd,語言文學類,"然後,我們就Bye了",34,2009,木馬文化出版,3F中文圖書區,2009-07-06,NA,2,法律學院,2014-11-28T06:25:58Z
A5676aa2714,館際合作借閱,"館際合作借書證.國立臺灣大學,三峽圖書館ILL用",12,NA,NA,1F流通櫃檯,2011-11-18,NA,3,法律學院,2016-04-15T03:54:08Z
Bca766d94b7,藝術類,阿瑪迪斯 [電影片] = Amadeus,17,2013,威翰文創,1F視聽區,2013-10-16,電影片,1,公共事務學院,2014-03-28T05:34:02Z
Id5ecdf6594,哲學類,"20幾歲想清楚,30幾歲你作主",200,2013,雅各文創,1F職涯博覽專區,2014-05-20,成功法,3,商學院,2016-05-23T10:31:25Z
N8a8c643893,世界史地,不含傳說的普魯士,33,2012,左岸文化出版,3F中文圖書區,2014-07-29,德國史,4,公共事務學院,2016-12-27T04:14:25Z
K21da2d1f30,語言文學類,中高級聽力測驗,6,2004,常春藤有聲,3F中文圖書區,2008-03-05,英國語言問題集,4,人文學院,2016-09-30T07:15:45Z
D514680e2b6,語言文學類,浪人之歌,22,2013,木馬文化,3F中文圖書區,2014-02-17,NA,3,社會科學院,2016-04-28T08:43:53Z
H7ed3baa7f7,哲學類,最後14堂星期二的課,13,1998,大塊文化出版,3F中文圖書區,2003-09-19,人生哲學,2,商學院,2014-12-12T08:26:23Z
Gcad249d33a,社會科學類,中國民主之困局與發展,11,1984,時報文化,3F中文圖書區,2010-02-26,NA,1,商學院,2014-06-18T04:49:37Z
C376576f701,語言文學類,生活十講,4,2009,聯合文學出版,3F中文圖書區,2009-05-06,NA,1,社會科學院,2014-04-19T08:20:00Z
G167b427dc5,中國史地,蒙曼說唐 : 唐玄宗 從開元之治到安史之亂.上部,31,2010,麥田,3F中文圖書區,2013-07-04,傳記,4,商學院,2016-09-21T06:06:04Z
A8ba0917b01,社會科學類,民法概要,76,2012,元照,3F中文圖書區,2013-12-27,民法,1,法律學院,2014-05-19T09:14:00Z
Af93de31fa2,語言文學類,IELTS高分字彙 = IELTS vocabulary focus,45,2011,眾文圖書,1F流通櫃檯,2012-03-29,國際英語語文測試系統,4,法律學院,2016-09-22T01:42:19Z
O259db59c7b,科學類,Dreamweaver Photoshop Flash網頁動感玩美必修技,53,2012,碁峰資訊,3F中文圖書區,2014-12-09,電腦程式,3,電機資訊學院,2016-07-31T07:48:41Z
I1828d79258,語言文學類,最後的記憶,14,2007,皇冠文化,3F中文圖書區,2008-09-09,NA,2,商學院,2014-10-06T13:01:31Z
G5da835699a,語言文學類,我在貴族學校的日子,31,2008,皇冠文化,3F中文圖書區,2008-09-09,NA,2,商學院,2015-02-24T12:22:05Z
N0b39fe718a,語言文學類,活用日常美語=Working daily American language,11,1999,書林,3F中文圖書區,2003-11-28,英國語言讀本,4,商學院,2017-06-20T06:51:04Z
Ac4baf77852,科學類,"來跟毛小孩聊天. 2, 最溫暖的情感在日常",57,2015,啟動文化,3F中文圖書區,2015-12-21,動物行為,4,法律學院,2016-09-29T07:49:34Z
A1244894982,社會科學類,民法概要,62,2009,元照,3F中文圖書區,2009-04-07,民法,1,法律學院,2013-11-25T09:44:16Z
De9b8b6fe49,科學類,"Some account of the public life, and a selection from the unpublished writings, of the Earl of Macartney",4,1807,T. Cadell and W. Davies,4F外文圖書區,2011-05-12,Ireland History.,2,社會科學院,2014-08-29T02:11:05Z
B09310b7c4c,語言文學類,"飢餓遊戲.3,自由幻夢",45,2011,大塊文化,3F中文圖書區,2011-07-26,美國文學小說,1,公共事務學院,2014-03-19T07:06:59Z
Iec5e97df1d,科學類,Essentials of investments,46,2007,McGraw-Hill/Irwin,4F外文圖書區,2011-06-23,Investments.,2,商學院,2015-03-02T07:20:07Z
Hf3171588d5,科學類,MOS國際認證教戰手冊 : Word 2010 Core,43,2012,上奇資訊,3F中文圖書區,2012-09-27,WORD 2010(電腦程式),2,商學院,2014-08-08T05:43:10Z
M2904f47686,NA,愛心傘,65,NA,NA,1F流通櫃檯,2015-10-28,NA,4,人文學院,2017-06-02T05:14:50Z
I34143efb19,語言文學類,連城訣,6,1995,遠流,3F中文圖書區,2000-08-03,NA,1,商學院,2013-11-29T07:29:10Z
Kcbaaee96de,語言文學類,斧頭和魚缸,172,2008,風雲時代,3F中文圖書區,2013-04-19,短篇小說,4,人文學院,2017-02-13T02:41:26Z
B94a0f78c37,語言文學類,被取消的城市導覽,141,2014,時報文化,3F中文圖書區,2014-06-11,NA,3,公共事務學院,2016-01-26T08:04:36Z
G97b4333458,語言文學類,陰界黑幫 = Mafia of the dead. 5,3,2010,春天出版國際,3F中文圖書區,2013-12-30,長篇小說,1,商學院,2014-04-23T08:03:08Z
Cb01b766267,語言文學類,都市詩,16,1995,文史哲,3F中文圖書區,2000-06-13,NA,2,社會科學院,2014-11-03T03:21:25Z
I04b1a134f9,應用科學類,大前研一OFF學 : 愈會玩工作愈成功,2,2013,天下雜誌,1F職涯博覽專區,2013-12-27,職場成功法,2,商學院,2014-09-11T06:25:27Z
F4da978fa82,應用科學類,"簡報Show and Tell : 講故事秀圖片, 輕鬆說服全世界",84,2015,天下雜誌,3F中文圖書區,2016-01-11,簡報,3,公共事務學院,2016-06-21T03:33:50Z
I9162f25a3b,社會科學類,全球舞台大未來,21,2005,臺灣培生教育出版,3F中文圖書區,2006-04-25,國際經濟,4,商學院,2016-09-19T06:14:16Z
Ba0f927ba02,社會科學類,行政法筆記 : 國家考試複習&大學上課筆記,15,2011,考用,3F中文圖書區,2012-04-12,行政法,1,公共事務學院,2013-12-04T02:17:22Z
G8e5d4c5106,哲學類,老子．莊子．孫子,4,2001,遠流,3F中文圖書區,2003-01-06,道德經研究與考訂,1,商學院,2014-05-05T07:40:59Z
Dd0978c67fe,語言文學類,大逃殺 = Battle royale. 上,51,2005,木馬文化,3F中文圖書區,2013-06-24,日本文學,2,社會科學院,2014-11-24T07:46:17Z
Hc517f7138a,語言文學類,時間軸,8,2008,貓頭鷹出版,3F中文圖書區,2010-02-26,NA,1,商學院,2013-12-18T11:36:13Z
L2d3c3980d8,應用科學類,"我, 靠睡覺瘦了10kg : 最輕鬆的瘦身法, 4週, 胖肚、粗腿都不見!",139,2015,三采文化,3F中文圖書區,2016-07-26,睡眠,4,人文學院,2017-03-27T00:50:26Z
K0357ab3909,科學類,不只台北沉沒,249,2012,大都會文化,1F寰宇開卷專區,2013-07-12,全球氣候變遷,2,人文學院,2015-03-13T12:43:02Z
A6a81900486,語言文學類,孤狼,32,2013,臺灣商務,3F中文圖書區,2014-05-15,美國文學,3,法律學院,2016-04-21T01:21:45Z
A0f390c7645,社會科學類,民法總則編講義,107,1992,瑞興,3F中文圖書區,1999-07-21,NA,1,法律學院,2013-12-13T12:52:57Z
Bbce4cb213c,社會科學類,誰統治臺灣?:轉型中的國家機器與權力結構,126,1996,巨流,3F中文圖書區,1999-03-01,政治臺灣,4,公共事務學院,2017-03-20T08:07:14Z
M2904f47686,中國史地,宋史,65,2004,國立空中大學,3F中文圖書區,2015-06-09,宋代,4,人文學院,2017-06-12T12:08:45Z
Fa1763cbc9c,應用科學類,餐旅財務管理=Financial management in F & B and hotelindustry,11,2005,華杏,3F中文圖書區,2008-02-29,飲食業管理,3,公共事務學院,2016-04-13T09:49:20Z
Aaa87d5de2b,科學類,Die entstehungsvoraussetzungen der garantenpflichten,158,1986,Duncker & Humblot,4F外文圖書區,2009-04-13,NA,4,法律學院,2016-11-26T05:40:05Z
I549556b143,哲學類,超專注力 = Super concentration,201,2013,商周,1F職涯博覽專區,2013-12-27,注意力,2,商學院,2015-06-10T12:54:44Z
H6a798a51f3,語言文學類,沉睡的森林,30,2010,獨步文化,3F中文圖書區,2013-06-10,日本文學,2,商學院,2014-08-02T07:49:32Z
M66db60e209,世界史地,西洋現代史,28,2006,湯姆生出版,3F中文圖書區,2010-03-17,歐洲歷史現代(1900- ),2,人文學院,2015-06-22T03:37:17Z
Ic8248428a2,社會科學類,財政學=Public finance,48,2004,三民,3F中文圖書區,2005-12-01,財政,3,商學院,2015-11-30T03:40:24Z
E45c3ff5c2d,社會科學類,金融法,5,2007,元照,3F中文圖書區,2008-04-30,"金融法令,規則等",2,公共事務學院,2015-03-16T02:07:15Z
Ica4088674a,哲學類,如何維持情緒健康,14,2013,先覺,1F通識悅讀專區,2013-08-02,心理治療,2,商學院,2015-05-26T12:22:50Z
A054541faf9,哲學類,穿越夢境遇見最真實的自己,185,2012,天下雜誌,3F中文圖書區,2013-05-15,解夢,3,法律學院,2015-12-01T02:55:24Z
Aa8ac162979,語言文學類,剛剛好 = 張曼娟散文精選,17,2011,皇冠,3F中文圖書區,2013-04-19,散文,2,法律學院,2015-03-14T08:19:12Z
A054541faf9,科學類,International law and the use of force : cases and materials,185,2005,Foundation Press,4F外文圖書區,2007-04-10,Intervention (International law),3,法律學院,2015-08-24T05:33:15Z
Pc274e506f9,應用科學類,"都市、複雜與規劃:理解並改善都市發展:understanding and improving urban development=Cities, complexity and planning",14,2006,詹氏,3F中文圖書區,2006-08-28,都市計畫,3,電機資訊學院,2015-09-16T10:29:59Z
L954e45660f,哲學類,How will you measure your life?,41,2012,Harper Business,4F外文圖書區,2014-05-22,Self-actualization (Psychology),4,人文學院,2017-03-13T04:29:38Z
A4ac2eb4535,語言文學類,蘇辛詞,78,1998,臺灣書店,3F中文圖書區,1999-03-01,NA,4,法律學院,2016-10-12T12:20:43Z
Kadbf84e112,語言文學類,魔力棒球,130,2006,蓋亞文化,3F中文圖書區,2012-12-06,科幻小說,4,人文學院,2016-11-17T02:28:09Z
La349088f48,語言文學類,信不信由你 : 一週學好韓語四十音,25,2012,瑞蘭國際,3F中文圖書區,2012-11-21,韓語,3,人文學院,2015-11-24T12:25:53Z
Ie4a3b426be,藝術類,45個簡單隨手畫的小練習 : 900種圖形一次學會,217,2014,遠流,3F中文圖書區,2014-12-10,繪畫技法,2,商學院,2015-04-25T04:43:26Z
I0bd21bd6ff,語言文學類,"「冏超大!」這樣說英語,老外聽不懂!?",11,2014,好優文化,3F中文圖書區,2014-12-10,英語,2,商學院,2015-07-02T05:24:48Z
Af93de31fa2,藝術類,官將首:唯一發源於台北縣的家將藝陣,45,2002,唐山出版,3F中文圖書區,2009-01-12,藝陣,4,法律學院,2016-11-24T01:57:41Z
Kba8e791765,哲學類,莊子今註今譯,11,1985,臺灣商務,3F中文圖書區,2007-07-17,NA,4,人文學院,2017-06-09T07:23:39Z
Dd0978c67fe,宗教類,神話與意義,32,2010,麥田,3F中文圖書區,2013-09-09,人類學,4,社會科學院,2017-05-09T07:42:37Z
K0357ab3909,總類,楚辭 : 澤畔的悲歌,249,2012,時報文化,3F中文圖書區,2013-12-24,白話譯文,2,人文學院,2015-07-13T07:31:05Z
Af67c9efc85,社會科學類,金融法,76,2016,元照,3F中文圖書區,2016-09-29,金融法規,4,法律學院,2017-05-14T07:54:19Z
Hdf6e72c497,藝術類,好電影的法則 : 101堂電影大師受用一生的UCLA電影課,6,2013,原點,3F中文圖書區,2015-09-22,電影,4,商學院,2017-12-21T05:20:32Z
Aaa87d5de2b,科學類,Systematischer Kommentar zum Strafgesetzbuch,184,2003,Luchterhand,4F外文圖書區,2004-07-28,Criminal law Germany (West).,3,法律學院,2015-12-23T12:27:49Z
Beb83556f54,語言文學類,輪迴手札,20,2011,逗點文創結社,3F中文圖書區,2013-04-26,新詩,3,公共事務學院,2016-07-18T07:26:37Z
Ofe2b6a65a2,世界史地,"跟著董事長挑民宿. I, CEO的蔣公行館",19,2009,旗林文化,3F中文圖書區,2014-04-25,旅遊,2,電機資訊學院,2014-09-18T01:33:02Z
Cc4c1a06253,科學類,Fundamentals of futures and options markets,23,2014,Pearson,4F外文圖書區,2014-10-15,Futures market.,4,社會科學院,2016-10-12T07:08:18Z
G1b1b6fb885,NA,電子書閱讀器 iPad 4,16,NA,NA,1F流通櫃檯,2013-11-29,NA,3,商學院,2015-08-31T07:28:14Z
G012b121f83,語言文學類,"青春紀行 = Golden time. 外傳,二次元君特別篇",16,2013,臺灣國際角川書店,3F中文圖書區,2013-12-30,日本文學,2,商學院,2014-12-05T07:02:20Z
Iafd4f14ba2,應用科學類,關鍵18分鐘,7,2013,天下遠見出版,3F中文圖書區,2013-06-10,時間管理,1,商學院,2014-04-16T12:40:04Z
Ea71063f289,社會科學類,中華民國憲法,13,1995,三民,3F中文圖書區,1999-03-01,憲法中國,2,公共事務學院,2015-01-19T01:00:00Z
F8ff5d73128,哲學類,正義:一場思辨之旅,24,2011,雅言文化,3F中文圖書區,2011-07-26,社會正義,3,公共事務學院,2016-05-06T04:27:30Z
K44bf8f6c55,語言文學類,中國文學史新講,12,2006,聯經,3F中文圖書區,2009-03-12,中國文學歷史,3,人文學院,2016-01-11T00:51:51Z
D0e91cb8d9d,語言文學類,足本三國演義 一百二十回,98,2001,世界,3F中文圖書區,2002-07-19,NA,2,社會科學院,2015-06-29T02:06:40Z
I9162f25a3b,社會科學類,資本主義與自由,21,2014,五南圖書,3F中文圖書區,2015-04-09,經濟政策,4,商學院,2016-09-19T06:14:17Z
G7e8b086cbe,語言文學類,異俠,18,2005,新方舟資訊發行,3F中文圖書區,2006-05-23,NA,1,商學院,2014-05-21T04:00:44Z
B7c3a980cf5,科學類,寂靜的春天,5,1972,大中國圖書公司,3F中文圖書區,2004-03-29,NA,2,公共事務學院,2015-04-22T06:30:40Z
I549556b143,應用科學類,沒什麼談不了 : 超完整談判實戰指南,201,2005,美商麥格羅？希爾,1F職涯博覽專區,2013-08-19,商業談判,2,商學院,2015-03-09T07:11:15Z
